metric,node,pod,namespace,container,timestamp,value
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395480,0.0005647478171692292
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395495,0.0006912520401690579
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395510,0.0006830135928439165
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395525,0.0006817711067799172
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395540,0.0006619895153293447
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395555,0.0007944651519019617
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395570,0.0007974978148369093
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395585,0.0008435030586111252
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395600,0.0008396726372547631
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395615,0.0008605761223542391
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395630,0.0008568282096094915
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395645,0.0008532849367279507
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395660,0.0008214581435787061
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395675,0.0008280147227632621
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395690,0.0008473849283216227
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395705,0.0008470867512821569
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395720,0.0008410951577734799
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395735,0.0008730138531592616
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395750,0.00085675896918682
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395765,0.0009247510257943475
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395780,0.0008176578455715522
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395795,0.0008364460953096385
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395810,0.0008050096727950899
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395825,0.0008224348658472286
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395840,0.0007036493711457081
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395855,0.0007004280291627293
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395870,0.0006584193805991779
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395885,0.0006517001347163728
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395900,0.0006122996084086814
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395915,0.0006190014921705541
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395930,0.0006025902892278703
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395945,0.0006522735380478033
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395960,0.0006330968343516744
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395975,0.0006411421530585823
cpu,minikube,kube-proxy-fshvh,kube-system,,1780395990,0.0005859777219436406
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396005,0.0006178184642930515
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396020,0.0006096704130179948
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396035,0.000618813205242197
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396050,0.000544615516545242
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396065,0.0005824120349336194
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396080,0.0005642158679476612
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396095,0.00057836243391967
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396110,0.0005449741026806008
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396125,0.0006057533316542718
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396140,0.0005805164623265987
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396155,0.0006436751245841218
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396170,0.0006355242223666794
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396185,0.0006880015988051048
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396200,0.0006599291018268838
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396215,0.0006670843231219234
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396230,0.0006291917004331372
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396245,0.0006736654520491938
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396260,0.0006813750275959832
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396275,0.0006815302589222695
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396290,0.0006370981988284306
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396305,0.000632140376530798
